_id,Tema,Fichas_Dataset,XLS,SHP,KML,CSV,RSS,JSON,XML,ODS,RDF,GTFS,TSV,URL_ficha
133,,Federacion Idena,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/federacion-idena
134,,Federacion NASTAT,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/federacion-nastat
135,,Federacion UPNA,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/federacion-upna
136,Sector público,Financiación y gasto de la enseñanza privada no universitaria,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/financiacion-y-gasto-de-la-ensenanza-privada-no-universitaria
137,Sector público,Formación profesional para el empleo de las personas trabajadoras,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/formacion-profesional-para-el-empleo-de-las-personas-trabajadoras
138,Turismo,Fuentes del Camino de Santiago,P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/fuentes-del-camino-de-santiago-
139,Salud,Gasto sanitario por covid-19,P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/gasto-sanitario-por-covid-19
140,Sector público,Gastos de Caja Fija,P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/gastos-de-caja-fija
141,Sector público,Gastos de viaje,P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/gastos-de-viaje
142,Economía,Grado de financiación de las Inversiones con Subvenciones finalistas,P,,,,,,,P,,,,https://datosabiertos.navarra.es/es/dataset/grado-de-financiaci-n-de-las-inversiones-con-subvenciones-finalistas
143,Sector público,Indicador de actividad del sector servicios,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/indicador-de-actividad-del-sector-servicios
144,Sector público,Indicadores de alta tecnología,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/indicadores-de-alta-tecnologia
145,Sociedad y bienestar,Indicadores de género en Cabezas de Familia,P,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/indicadores-de-g-nero-en-cabezas-de-familia
146,Demografía,Indicadores de género en Población soltera,P,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/indicadores-de-g-nero-en-poblaci-n-soltera
147,Demografía,Indicadores de género en Población total,P,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/indicadores-de-g-nero-en-poblaci-n-total
148,Demografía,Indicadores de género en Población viuda,P,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/indicadores-de-g-nero-en-poblaci-n-viuda
149,Sector público,Indicadores de población  ,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/indicadores-de-poblacion--
150,Sector público,Indicadores de rentabilidad del sector hotelero,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/indicadores-de-rentabilidad-del-sector-hotelero
151,Sector público,Índice de Comercio al por Menor,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/indice-de-comercio-al-por-menor
152,Sector público,Índice de gasto de los hogares ,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/indice-de-gasto-de-los-hogares-
153,Sector público,Índice de Igualdad de Género (IIG),,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/indice-de-igualdad-de-genero-iig
154,Sector público,Indice de precios de vivienda,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/indice-de-precios-de-vivienda
155,Sector público,Índice de precios hoteleros,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/indice-de-precios-hoteleros
